place_id,name_cln,text,unknown_uncertain,geog_name,address,settlement,region,country,continent,modern_french_region,name_n_ids
place_146,La Grange,La Grange,,,La Grange,,Seine-et-Marne,France,,Ile-de-France,obj977-pl-341 || obj1031-pl-408 || obj1119-pl-534 || obj1160-pl-628 || obj1374-pl-105
place_147,La Mancha,La Mancha,,,,,La Mancha,Spain,,,obj1560-pl-465
place_148,Lake Erie,Lake Erie,,Lake Erie,,,,,,,obj1145-pl-606 || obj1453-pl-243
place_149,Lausanne,Lausanne,,,,Lausanne,,Switzerland,,,obj1102-pl-517 || obj1103-pl-522 || obj1245-pl-734
place_150,Le Grange Blemeau Rogoy,Le Grange Blemeau Rogoy,,,La Grange,,Seine-et-Marne,France,,Ile-de-France,obj867-pl-178
place_151,Leghorn,Leghorn,,,,Livorno,,Italy,,,obj991-pl-358
place_152,Liberia,Liberia,,,,,,Liberia,,,obj1254-pl-750 || obj1254-pl-752
place_153,Livano,Livano,,,,Livorno,,Italy,,,obj1126-pl-556
place_154,Liverpool,Liverpool,,,,Liverpool,Lancashire,England,,,obj951-pl-286 || obj1047-pl-440 || obj1098-pl-501 || obj1134-pl-574 || obj1259-pl-766 || obj1444-pl-221 || obj1735-pl-760 || obj1772-pl-831
place_155,Liverpooll,Liverpooll,,,,Liverpool,Lancashire,England,,,obj1263-pl-781
place_156,Allermark St London,Allermark St London,,,Allermark St,London,London,England,,,obj972-pl-333
place_157,"Chapel Street Grosvenor Place, London","28 Chapel Street Grosvenor Place, London",,,"Chapel Street, Grosvenor Place",London,London,England,,,obj1306-pl-2
place_158,"Chapel Street, Grosvenor Place, London","28 Chapel Street, Grosvenor Place, London",,,"Chapel Street, Grosvenor Place",London,London,England,,,obj1287-pl-824
place_159,"Guildford Street, London","90 Guildford Street, London",,,Guildford Street,London,London,England,,,obj1325-pl-27
place_160,London,London,,,,London,London,England,,,obj762-pl-16 || obj773-pl-36 || obj779-pl-48 || obj785-pl-59 || obj799-pl-75 || obj806-pl-87 || obj806-pl-88 || obj839-pl-131 || obj900-pl-225 || obj909-pl-245 || obj922-pl-255 || obj930-pl-262 || obj951-pl-293 || obj983-pl-350 || obj1076-pl-468 || obj1110-pl-530 || obj1138-pl-593 || obj1209-pl-693 || obj1214-pl-700 || obj1226-pl-711 || obj1234-pl-718 || obj1244-pl-733 || obj1253-pl-747 || obj1259-pl-767 || obj1298-pl-842 || obj1325-pl-28 || obj1333-pl-51 || obj1360-pl-84 || obj1439-pl-206 || obj1446-pl-226 || obj1462-pl-260 || obj1534-pl-418 || obj1582-pl-509 || obj1587-pl-514 || obj1596-pl-528 || obj1602-pl-544 || obj1607-pl-548 || obj1628-pl-583 || obj1644-pl-596 || obj1646-pl-603 || obj1652-pl-622 || obj1655-pl-626 || obj1681-pl-677 || obj1692-pl-695 || obj1703-pl-713 || obj1705-pl-715 || obj1708-pl-722 || obj1726-pl-748 || obj1737-pl-763 || obj1737-pl-764 || obj1760-pl-811 || obj1883-pl-948
place_161,London,"London,",,,,London,London,England,,,obj769-pl-23
place_162,"Norton Street, Portland Place, London","29 Norton Street, Portland Place, London",,,"Norton Street, Portland Place",London,London,England,,,obj1248-pl-736
place_163,"Charles Street, Clarendon Square, Somerstown","12 Charles Street, Clarendon Square, Somerstown",,,"Charles Street, Clarendon Square, Somerstown",London,London,England,,,obj948-pl-280
place_164,Long Island,Long Island,,,Long Island,New York,New York state,United States of America,,,obj1719-pl-737
place_165,Louisiana,Louisiana,,,,,Louisiana,United States of America,,,obj780-pl-51 || obj1846-pl-919 || obj1848-pl-928 || obj1849-pl-929
place_166,Louisville,Louisville,,,,Louisville,Kentucky,United States of America,,,obj1263-pl-783 || obj1288-pl-825 || obj1333-pl-49 || obj1530-pl-407 || obj1620-pl-563
place_167,Luxembourg,Luxembourg,,,,,,Luxembourg,,,obj1568-pl-484
place_168,the Luxembourg,the Luxembourg,,,,,,Luxembourg,,,obj999-pl-368
