name_d_id,short_name
ppl:jwilkinson,jwilkinson
ppl:jwilks,jwilks
ppl:jwjenks,jwjenks
ppl:jwwebster,jwwebster
ppl:jwyman,jwyman
ppl:kap,kapostl
ppl:_keever,keever
ppl:kingsaoboso,kingsaoboso
ppl:labp,lapichon
ppl:_lacioux,lacioux
ppl:ladugas,ladugas
ppl:ladyairlie,ladyairlie
ppl:lafayette,lafayette
ppl:_lamon,lamon
ppl:laurenhill,laurenhill
ppl:_lavey,lavey
ppl:lbra,lbradish
ppl:lbrown,lbrown
ppl:lcabell,lcabell
ppl:lcallag,lcallaghan
ppl:lcjb,lcjbouchette
ppl:lco,cogilvy
ppl:ldbroglie,ldebroglie
ppl:ldick,ldick
ppl:_legendre,legendre
ppl:_lemore,lemore
ppl:lencassmcp,lcassellmcphail
ppl:leroybenger,leroybenger
ppl:lewiscass,lewiscass
ppl:lfnk,nkc
ppl:lgjones,lgjones
ppl:lhsigourney,lhsigourney
ppl:lmbarral,lmbarral
ppl:lmdlrevelliere,lmrevellierelepeaux
ppl:lmjhersent,lmjhersent
ppl:lordholland,lordholland
ppl:lordkingsbury,lordkingsbury
ppl:lordnorth,lordnorth
ppl:lordstrangford,pcssmythe
ppl:lpuissant,lpuissant
ppl:lsb,lsbelloc
ppl:ltgencockburn,ltgencockburn
ppl:ltlevy,ltlevy
ppl:_lumley,lumley
ppl:lvalent,lvalentine
ppl:lwoods,lwoods
ppl:mabrenier,mabrenier
ppl:maccosta,maccosta
ppl:macdonnellj,macdonnellj
ppl:_macphail,macphail
ppl:madereubele,madereubele
ppl:madpotet,mmepotet
ppl:_magimel,magimel
ppl:_maile,maile
ppl:maj,majullien
ppl:majorblacher,majorblacher
ppl:majorcrutchfield,majorcrutchfield
ppl:majormercer,majormercer
ppl:majormirca,majormirca
ppl:_malaspina,malaspina
ppl:mamd,mmeaublay
ppl:_mame,mame
ppl:mapictet,mapictet
ppl:marquisdemabais,marquisdemabais
ppl:_martin,martin
ppl:marymeason,marymeason
ppl:_maury,maury
ppl:_maxime,maxime
ppl:mbenon,mbenon
ppl:mbosange,mbosange
ppl:mboyd,mboyd
ppl:mbs,mbsmith
ppl:mbuchanan,mbuchanan
ppl:mcar,mcarey
ppl:mcbourbon,mcdebourbon
ppl:mccyoung,mccyoung
ppl:_mcguignonmarres,mcguignonmarres
ppl:_mcmannony,mcmannony
ppl:mcohen,mcohen
ppl:mcp,mcpaterson
ppl:mcpaterson,mpatterson
ppl:mcsmith,mcsmith
ppl:mdaunon,mdaunon
ppl:mdbricke,mdebricke
ppl:mdcoutz,mdecoutz
ppl:mdemoyencourt,mdemoyencourt
ppl:mdlmartine,mdelamartine
ppl:mdoran,mdoran
ppl:mduvermot,mduvermot
ppl:medg,medgeworth
ppl:_melist,melist
ppl:_mendizabal,mendizabal
ppl:_meyer,meyer
ppl:mfilleau,mfilleau
ppl:mfleuriau,mfleuriau
ppl:mgandais,mgandais
ppl:mgbiennais,mgbiennais
ppl:mgod,mgodefroy
ppl:mhr,missrowan
ppl:_mill,mill
ppl:miltitz,miltitz
ppl:mipringle,mipringle
ppl:missaiken,missaiken
ppl:missbridgen,missbridgen
ppl:missbrongnier,missbrongnier
ppl:misscmarx,misscmarx
ppl:misscoppinger,misscoppinger
ppl:missframe,missframe
ppl:missgarnett,missgarnett
ppl:missguibout,missguibout
ppl:misskitchingman,misskitchingman
ppl:missmasterson,missmasterson
ppl:missmauduit,missmauduit
ppl:missmccarthy,missmccarthy
ppl:misssedgewick,misssedgewick
ppl:misstaylor,misstaylor
ppl:misswilkes,misswilkes
ppl:missyates,missyates
ppl:mjlbaugiour,mjlbaugiour
ppl:mjmcneal,mjmcneal
ppl:mjonesscherrerhorne,mjonesscherrerhorne
ppl:mkienen,mkienen
ppl:mknapier,mknapier
ppl:mlewis,mlewis
ppl:mllelodtel,mllelodtel
ppl:mmason,mmason
ppl:mmcarnell,mmcarnell
ppl:mmclane,mmclane
ppl:mmcourtin,mmcourtin
ppl:mmdbure,mdebure
ppl:mmdclassby,mdeclassby
ppl:mmebdbussieu,mmebdebussieu
ppl:mmebel,mmebel
ppl:mmeboidal,mmeboidal
ppl:mmedannonn,mmedannonn
ppl:mmedcobbet,mmedecobbet
ppl:mmedebusiead,mmedebusiead
ppl:mmedegivre,mmedegivre
ppl:mmedehocquard,mmedehocquard
ppl:mmedenis,mmedenis
ppl:mmedgoulay,mmedegoulay
ppl:mmedlutte,mmedelutte
ppl:mmedmontbret,mmedemontbret
ppl:mmegregoire,mmegregoire
ppl:mmehacket,mmehacket
ppl:mmejunker,mmejunker
ppl:mmelejeune,mmelejeune
ppl:mmelemore,mmelemore
ppl:mmeperceval,mmeperceval
ppl:mmn,mmnoah
ppl:mnoisette,mnoisette
ppl:_molart,molart
ppl:_monnier,monnier
ppl:moorerobinson,moorerobinson
ppl:_morrison,morrison
ppl:_moulin,moulin
ppl:mpayen,mpayen
ppl:mpost,mpost
ppl:mr_thompson,mrthompson
ppl:mralexander,mralexander
ppl:mrashton,mrashton
ppl:mrbabcock,mrbabcock
ppl:mrbabier,mrbabier
ppl:mrbariois,mrbariois
ppl:mrbeauprise,mrbeauprise
ppl:mrbenton,mrbenton
ppl:mrbidd,mrbidd
ppl:mrbirkbeck,mrbirkbeck
ppl:mrblagden,mrblagden
ppl:mrbosc,mrbosc
ppl:mrbothling,mrbothling
ppl:mrbronson,mrbronson
ppl:mrburns,mrburns
ppl:mrcaldcleugh,mrcaldcleugh
ppl:mrcarill,mrcarill
ppl:mrcentress,mrcentress
ppl:mrcharming,mrcharming
ppl:mrchase,mrchase
ppl:mrclairborne,mrclairborne
ppl:mrcoates,mrcoates
ppl:mrcogrell,mrcogrell
ppl:mrcogsnell,mrcogsnell
ppl:mrcorin,mrcorin
ppl:mrcreighton,mrcreighton
ppl:mrdarusement,mrdarusement
ppl:mrdavid,mrdavid
ppl:mrdebehr,mrdebehr
ppl:mrdelavaux,mrdelavaux
ppl:mrdempsey,mrdempsey
ppl:mrdenimdetour,mrdenimdetour
ppl:mrdennison,mrdennison
ppl:mrdesdoutaine,mrdesdoutaine
ppl:mrdickens,mrdickens
ppl:mrdickins,mrdickins
ppl:mrdillon,mrdillon
ppl:mrdraper,mrdraper
ppl:mrdubois,mrdubois
ppl:mrdubouchet,mrdubouchet
ppl:mreccles,mreccles
ppl:mreckeford,mreckeford
ppl:mredward,mredward
ppl:mrfernaux,mrfernaux
ppl:mrfield,mrfield
ppl:mrfinch,mrfinch
ppl:mrfisher,mrfisher
ppl:mrfletcher,mrfletcher
ppl:mrflush,mrflush
ppl:mrfochalle,mrfochalle
ppl:mrfrazer,mrfrazer
ppl:mrfurman,mrfurman
ppl:mrgalignani,mrgalignani
ppl:mrgamy,mrgamy
ppl:mrgarnett,mrgarnett
ppl:mrgarnier,mrgarnier
ppl:mrgeiger,mrgeiger
ppl:mrgibson,mrgibson
ppl:mrglaff,mrglaff
ppl:mrgleason,mrgleason
ppl:mrgould,mrgould
ppl:mrgreenshaw,mrgreenshaw
ppl:mrhacket,mrhacket
ppl:mrhale,mrhale
ppl:mrhammond,mrhammond
ppl:mrhicks,mrhicks
ppl:mrhodgson,mrhodgson
ppl:mrhorris,mrhorris
ppl:mrhottinguer,mrhottinguer
ppl:mrhowland,mrhowland
ppl:mrisard,mrisard
ppl:mritch,mritch
ppl:mrjannin,mrjannin
ppl:mrkauman,mrkauman
ppl:mrkirk,mrkirk
